"claim_key","source_key","claim_type","statement","normalized_value","unit","geography","company_size_scope","sample_size","study_period","locator","review_status","notes"
"DESTATIS_2025_AI_USE_ALL","DESTATIS_AI_ADOPTION_TABLE","adoption_statistic","In 2025, 26% of German enterprises in the survey scope used artificial-intelligence technologies.","26","percent","DE","All enterprises in the Destatis ICT survey scope; employee threshold and EU enterprise definition must be retained","","2025","table lines 130-139; status 24 Nov 2025","evidence_checked","Do not compare directly with Bitkom's 20+ employee survey"
"DESTATIS_2025_AI_USE_10_49","DESTATIS_AI_ADOPTION_TABLE","adoption_statistic","In 2025, 23% of German enterprises with 10–49 employees used artificial-intelligence technologies.","23","percent","DE","10-49 employees","","2025","table lines 130-139; status 24 Nov 2025","evidence_checked","EU enterprise definition applies from reporting year 2025"
"DESTATIS_2025_AI_USE_50_249","DESTATIS_AI_ADOPTION_TABLE","adoption_statistic","In 2025, 36% of German enterprises with 50–249 employees used artificial-intelligence technologies.","36","percent","DE","50-249 employees","","2025","table lines 130-139; status 24 Nov 2025","evidence_checked","EU enterprise definition applies from reporting year 2025"
"DESTATIS_2025_AI_USE_250_PLUS","DESTATIS_AI_ADOPTION_TABLE","adoption_statistic","In 2025, 57% of German enterprises with more than 250 employees used artificial-intelligence technologies.","57","percent","DE",">250 employees","","2025","table lines 130-139; status 24 Nov 2025","evidence_checked","Source wording says more than 250; retain exact boundary pending methodology review"
"DESTATIS_2025_TEXT_MINING_SHARE","DESTATIS_AI_ADOPTION_TABLE","technology_mix_statistic","Among German enterprises using AI in 2025, 52% used text-mining technology.","52","percent","DE","AI-using enterprises in survey scope","","2025","table lines 140-148; status 24 Nov 2025","evidence_checked","Denominator is AI-using enterprises, not all enterprises"
"DESTATIS_2025_NLG_CODE_SHARE","DESTATIS_AI_ADOPTION_TABLE","technology_mix_statistic","Among German enterprises using AI in 2025, 35% used natural-language generation, including programming code.","35","percent","DE","AI-using enterprises in survey scope","","2025","table lines 140-151; status 24 Nov 2025","evidence_checked","Denominator is AI-using enterprises"
"DESTATIS_2025_MEDIA_GENERATION_SHARE","DESTATIS_AI_ADOPTION_TABLE","technology_mix_statistic","Among German enterprises using AI in 2025, 52% used technology that generates images, video, sound, or audio.","52","percent","DE","AI-using enterprises in survey scope","","2025","table lines 140-152; status 24 Nov 2025","evidence_checked","Denominator is AI-using enterprises"
"DESTATIS_2025_ML_SHARE","DESTATIS_AI_ADOPTION_TABLE","technology_mix_statistic","Among German enterprises using AI in 2025, 23% reported using machine-learning technology.","23","percent","DE","AI-using enterprises in survey scope","","2025","table lines 140-154; status 24 Nov 2025","evidence_checked","Destatis category definitions require methodology review"
"DESTATIS_2025_WORKFLOW_DECISION_SHARE","DESTATIS_AI_ADOPTION_TABLE","technology_mix_statistic","Among German enterprises using AI in 2025, 27% used AI for workflow automation or decision-making.","27","percent","DE","AI-using enterprises in survey scope","","2025","table lines 140-156; status 24 Nov 2025","evidence_checked","Denominator is AI-using enterprises"
"DESTATIS_2025_AUTONOMOUS_MOVEMENT_SHARE","DESTATIS_AI_ADOPTION_TABLE","technology_mix_statistic","Among German enterprises using AI in 2025, 6% used AI for autonomous movement of machines.","6","percent","DE","AI-using enterprises in survey scope","","2025","table lines 140-157; status 24 Nov 2025","evidence_checked","Denominator is AI-using enterprises"
"DESTATIS_2025_CONSIDERED_NOT_USING","DESTATIS_AI_BARRIERS_TABLE","adoption_barrier_statistic","In 2025, 20% of German enterprises in the survey scope had considered using AI technologies but did not yet use them.","20","percent","DE","All enterprises in survey scope","","2025","table lines 130-140; status 24 Nov 2025","evidence_checked","Barrier percentages below use this subgroup as denominator"
"DESTATIS_2025_BARRIER_KNOWLEDGE","DESTATIS_AI_BARRIERS_TABLE","barrier_statistic","Among enterprises that had considered AI but did not use it, 72% cited missing knowledge.","72","percent","DE","Enterprises that considered AI but did not use it","","2025","table lines 141-152; status 24 Nov 2025","evidence_checked","Subgroup denominator; not all enterprises"
"DESTATIS_2025_BARRIER_LEGAL","DESTATIS_AI_BARRIERS_TABLE","barrier_statistic","Among enterprises that had considered AI but did not use it, 62% cited uncertainty about legal consequences.","62","percent","DE","Enterprises that considered AI but did not use it","","2025","table lines 141-156; status 24 Nov 2025","evidence_checked","Subgroup denominator"
"DESTATIS_2025_BARRIER_PRIVACY","DESTATIS_AI_BARRIERS_TABLE","barrier_statistic","Among enterprises that had considered AI but did not use it, 60% cited data-protection and privacy concerns.","60","percent","DE","Enterprises that considered AI but did not use it","","2025","table lines 141-155; status 24 Nov 2025","evidence_checked","Subgroup denominator"
"DESTATIS_2025_BARRIER_LEGACY","DESTATIS_AI_BARRIERS_TABLE","barrier_statistic","Among enterprises that had considered AI but did not use it, 45% cited incompatibility with existing equipment, software, and systems.","45","percent","DE","Enterprises that considered AI but did not use it","","2025","table lines 141-153; status 24 Nov 2025","evidence_checked","Subgroup denominator"
"DESTATIS_2025_BARRIER_DATA","DESTATIS_AI_BARRIERS_TABLE","barrier_statistic","Among enterprises that had considered AI but did not use it, 44% cited problems with availability or quality of required data.","44","percent","DE","Enterprises that considered AI but did not use it","","2025","table lines 141-154; status 24 Nov 2025","evidence_checked","Subgroup denominator"
"DESTATIS_2025_BARRIER_COST","DESTATIS_AI_BARRIERS_TABLE","barrier_statistic","Among enterprises that had considered AI but did not use it, 32% cited costs that were too high.","32","percent","DE","Enterprises that considered AI but did not use it","","2025","table lines 141-151; status 24 Nov 2025","evidence_checked","Subgroup denominator"
"DESTATIS_2025_BARRIER_ETHICS","DESTATIS_AI_BARRIERS_TABLE","barrier_statistic","Among enterprises that had considered AI but did not use it, 23% cited ethical considerations.","23","percent","DE","Enterprises that considered AI but did not use it","","2025","table lines 141-157; status 24 Nov 2025","evidence_checked","Subgroup denominator"
"DESTATIS_2025_BARRIER_NOT_USEFUL","DESTATIS_AI_BARRIERS_TABLE","barrier_statistic","Among enterprises that had considered AI but did not use it, 18% considered AI not useful.","18","percent","DE","Enterprises that considered AI but did not use it","","2025","table lines 141-158; status 24 Nov 2025","evidence_checked","Overall value only; large-company value suppressed as statistically uncertain"
"DESTATIS_2023_SME_COUNT","DESTATIS_SME_STATS","market_structure_statistic","Germany had 3.2 million small and medium-sized enterprises in the reported 2023 scope.","3200000","enterprises","DE","EU-aligned SME definition used by Destatis","","2023","page lines 164-166","evidence_checked","Scope covers specified WZ 2008 sectors; read methodology before extrapolation"
"DESTATIS_2023_SME_SHARE","DESTATIS_SME_STATS","market_structure_statistic","Small and medium-sized enterprises represented 99.3% of enterprises in the reported German 2023 scope.","99.3","percent","DE","EU-aligned SME definition used by Destatis","","2023","page lines 164-166","evidence_checked","Scope covers specified WZ 2008 sectors"
"DESTATIS_2023_SME_EMPLOYMENT_SHARE","DESTATIS_SME_STATS","market_structure_statistic","Small and medium-sized enterprises accounted for 53% of persons employed in enterprises in the reported German 2023 scope.","53","percent","DE","EU-aligned SME definition used by Destatis","","2023","page headline and lines 150-166","evidence_checked","Confirm exact table denominator during full content review"
"DESTATIS_2023_SME_GVA_SHARE","DESTATIS_SME_STATS","market_structure_statistic","Small and medium-sized enterprises accounted for 41% of gross value added in the reported German 2023 scope.","41","percent","DE","EU-aligned SME definition used by Destatis","","2023","page headline lines 130-135","evidence_checked","Confirm exact table denominator during full content review"
"DESTATIS_2023_SME_TURNOVER_SHARE","DESTATIS_SME_STATS","market_structure_statistic","Small and medium-sized enterprises accounted for 26% of turnover in the reported German 2023 scope.","26","percent","DE","EU-aligned SME definition used by Destatis","","2023","page lines 150-154 and 169-171","evidence_checked","Scope covers specified WZ 2008 sectors"
"BITKOM_2026_AI_USE","BITKOM_DIGITAL_ECONOMY_2026_PRESS","adoption_statistic","In a representative Bitkom survey conducted in weeks 2–6 of 2026, 41% of German companies with at least 20 employees reported using AI.","41","percent","DE",">=20 employees","604","2026 KW02-KW06","page lines 143-147 and methodology line 252","evidence_checked","Telephone survey commissioned by Bitkom; population differs from Destatis"
"BITKOM_2026_AI_PLAN_DISCUSS","BITKOM_DIGITAL_ECONOMY_2026_PRESS","adoption_intent_statistic","In the same 2026 Bitkom survey, 48% of German companies with at least 20 employees reported planning or discussing AI use.","48","percent","DE",">=20 employees","604","2026 KW02-KW06","page lines 143-147 and methodology line 252","evidence_checked","Planning and discussion are combined in one response category"
"BITKOM_2026_COMPETITIVE_POSITION","BITKOM_DIGITAL_ECONOMY_2026_PRESS","self_reported_outcome","Among surveyed companies currently using AI, 77% said their competitive position had improved.","77","percent","DE","AI-using companies with >=20 employees","604 total survey","2026 KW02-KW06","page lines 146-147 and methodology line 252","evidence_checked","Self-reported outcome; subgroup size not stated on page"
"BITKOM_2026_MEASURABLE_SUCCESS","BITKOM_DIGITAL_ECONOMY_2026_PRESS","self_reported_outcome","Among surveyed companies currently using AI, 52% reported a measurable contribution to company success.","52","percent","DE","AI-using companies with >=20 employees","604 total survey","2026 KW02-KW06","page line 147 and methodology line 252","evidence_checked","Self-reported; definition of measurable success requires underlying questionnaire"
"BITKOM_2026_EXPANSION_INTENT","BITKOM_DIGITAL_ECONOMY_2026_PRESS","adoption_intent_statistic","Among surveyed companies currently using AI, 66% intended to expand their use of AI.","66","percent","DE","AI-using companies with >=20 employees","604 total survey","2026 KW02-KW06","page line 147 and methodology line 252","evidence_checked","Subgroup size not stated on page"
"BITKOM_2026_DATA_UNDERUSED","BITKOM_DIGITAL_ECONOMY_2026_PRESS","data_readiness_statistic","In the 2026 Bitkom survey, 61% of companies said they used their data potential little or not at all.","61","percent","DE",">=20 employees","604","2026 KW02-KW06","page lines 154-157 and methodology line 252","evidence_checked","48% little plus 13% not at all; self-assessment"
"BITKOM_2026_AI_COST_OVERRUN","BITKOM_DIGITAL_ECONOMY_2026_PRESS","self_reported_cost_outcome","Among surveyed AI-using companies, 33% reported substantially higher AI costs than expected.","33","percent","DE","AI-using companies with >=20 employees","604 total survey","2026 KW02-KW06","page line 173 and methodology line 252","evidence_checked","Confirm question wording and subgroup denominator from downloadable presentation"
"BNETZA_AI_LITERACY_APPLICABLE","BNETZA_AI_LITERACY","regulatory_timeline","The AI Act rules on AI literacy in Article 4 have applied since 2 February 2025.","","","DE|EU","Providers and deployers of AI systems","","from 2025-02-02","page lines 208 and 233-239","evidence_checked","Regulatory information; route binding interpretation to authoritative law/courts"
"BNETZA_AI_LITERACY_CONTEXT","BNETZA_AI_LITERACY","regulatory_guidance","AI-literacy measures should reflect the organization's provider/deployer role, the system's risk and context, and users' prior knowledge and experience.","","","DE|EU","Organizations providing or deploying AI systems","","current guidance","page lines 213-215 and 268-289","evidence_checked","Guidance is context-specific, not one-size-fits-all"
"BNETZA_AI_LITERACY_NO_STANDARD_TRAINING","BNETZA_AI_LITERACY","regulatory_guidance","The AI Act does not prescribe standardized training measures for AI literacy.","","","DE|EU","Organizations providing or deploying AI systems","","current guidance","page lines 213 and 246-265","evidence_checked","Absence of a standardized format does not remove the underlying duty"
"BNETZA_AI_LITERACY_DOCUMENTATION","BNETZA_AI_LITERACY","regulatory_guidance","Bundesnetzagentur recommends documenting measures taken to build AI literacy.","","","DE|EU","Organizations providing or deploying AI systems","","current guidance","page lines 217 and 266-304","evidence_checked","Recommended records include type, content/duration scope, and participants"
"BNETZA_AI_LITERACY_NO_CERTIFICATE","BNETZA_AI_LITERACY","regulatory_guidance","Certification of AI-literacy training or qualification measures is not required by the AI Act.","","","DE|EU","Organizations providing or deploying AI systems","","current guidance","page lines 216 and 250-265","evidence_checked","Internal or external measures may be used"
"EU_AI_ACT_TIMELINE_2026_COMMISSION","EU_COMMISSION_AI_ACT_FRAMEWORK","regulatory_timeline","The European Commission's current framework page says the AI Act becomes fully applicable on 2 August 2026, subject to listed exceptions and later high-risk-system dates.","","","EU|DE","AI Act actors","","current page checked 2026-07-18","page lines 152-164","evidence_checked","Volatile: active simplification agreement changes parts of the timeline"
"DE_AI_ACT_TIMELINE_BNETZA_2027","BNETZA_AI_SERVICE_DESK","regulatory_timeline","The Bundesnetzagentur's current overview page states that the AI Act will be fully applicable from August 2027.","","","DE|EU","AI Act actors","","current page checked 2026-07-18","page lines 244-253","evidence_checked","Conflicts in wording with the Commission page; preserve both and obtain legal/current-status review before product output"
